text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"On 17 March 2025 at 05:37, an incident occurred at Dry Dock 2. forklift failure caused a fuel leak to ship propeller. The incident was reported by Dakota Fisher. Cameron Davis from the IT department was involved. Crush injury to hand from hydraulic press"
"forklift failure caused a fuel leak to dry dock floor. Chris Robinson from the Legal department was involved. Puncture wound from misplaced tool The incident was reported by Elliot Hughes. On 18 January 2025 at 07:28, an incident occurred at Paint Shop."
"Taylor Smith from the Research & Development department was involved. crane failure caused electrical fire to ship propeller. The incident was reported by Finley Cooper. Compressed air injury during maintenance On 06 May 2024 at 21:58, an incident occurred at IT Server Room."
"Jordan Foster from the Health & Safety department was involved. Trip hazard fall resulting in bruising On 22 January 2024 at 15:06, an incident occurred at Fleet Garage. The incident was reported by Elliot Davis. grinder failure caused a fuel leak to storage area."
"On 20 February 2024 at 06:30, an incident occurred at Maintenance Shed. Structural collapse in shipyard warehouse due to corrosion. The incident was reported by Taylor Payne. Foreign object in eye from grinding debris Taylor Holmes from the Health & Safety department was involved."
"The incident was reported by Logan Hughes. Heat exhaustion from prolonged outdoor work Structural collapse in dry dock due to overload. Jordan Davis from the HR department was involved. On 27 May 2024 at 05:29, an incident occurred at Warehouse B."
"The incident was reported by Jordan Lewis. Oil spill contaminated dock area. Crush injury to hand from hydraulic press On 04 April 2024 at 02:49, an incident occurred at Fleet Garage. Chris Reed from the Warehouse department was involved."
"Peyton Hughes from the Procurement department was involved. The incident was reported by Peyton West. Trip hazard fall resulting in bruising Structural collapse in pier due to corrosion. On 16 May 2024 at 23:56, an incident occurred at IT Server Room."
"Cameron Ward from the Procurement department was involved. On 08 October 2024 at 17:51, an incident occurred at Reception Area. Structural collapse in shipyard warehouse due to improper maintenance. Crush injury to hand from hydraulic press The incident was reported by Morgan Graham."
"The incident was reported by Riley Fisher. Hydraulic fluid spill contaminated engine room. Fractured wrist from fall on wet surface On 11 September 2025 at 13:56, an incident occurred at Reception Area. Morgan Morgan from the Engineering department was involved."
"Structural collapse in dry dock due to overload. On 08 February 2024 at 14:40, an incident occurred at Shipyard Pier. The incident was reported by Finley Pearson. Drew Clark from the Customer Service department was involved. Smoke inhalation from fire in electrical bay"
"On 11 May 2024 at 10:50, an incident occurred at Warehouse A. The incident was reported by Dakota Mitchell. Drew Holmes from the Logistics department was involved. Structural collapse in shipyard warehouse due to overload. Hearing damage from loud machinery"
"On 05 July 2025 at 20:40, an incident occurred at Warehouse A. Peyton Kennedy from the Training & Development department was involved. crane failure caused a steel beam to drop to storage area. The incident was reported by Morgan Lewis. Minor cuts and bruises"
"The incident was reported by Drew Holmes. Oil spill contaminated dock area. Puncture wound from misplaced tool On 10 March 2025 at 22:55, an incident occurred at Paint Shop. Casey Graham from the Health & Safety department was involved."
"Avery Murphy from the Fleet Management department was involved. Laceration from sharp metal panel The incident was reported by Sydney Lewis. On 03 July 2024 at 12:43, an incident occurred at Cafeteria. crane failure caused a steel beam to drop to ship propeller."
"The incident was reported by Quinn Parker. crane failure caused a fuel leak to storage area. On 04 July 2024 at 16:12, an incident occurred at Warehouse A. Jesse Parker from the Environmental Services department was involved. Chemical burn from solvent exposure"
"The incident was reported by Skyler Sullivan. Hydraulic fluid spill contaminated paint shop. On 07 September 2025 at 19:58, an incident occurred at Electrical Bay. Laceration from sharp metal panel Peyton Bennett from the Engineering department was involved."
"Elliot Fisher from the Engineering department was involved. Crush injury to hand from hydraulic press Structural collapse in dry dock due to overload. On 27 September 2024 at 06:00, an incident occurred at Electrical Bay. The incident was reported by Rowan Clark."
"On 20 July 2024 at 14:20, an incident occurred at Dockyard North. Structural collapse in shipyard warehouse due to overload. Severe abrasion from slip on deck Casey Murphy from the Research & Development department was involved. The incident was reported by Frankie Allen."
"Structural collapse in shipyard warehouse due to corrosion. Smoke inhalation from fire in electrical bay Jesse Brown from the Environmental Services department was involved. The incident was reported by Sydney Robinson. On 08 September 2024 at 02:08, an incident occurred at Main Gate Security."
"On 11 September 2024 at 10:07, an incident occurred at Fuel Depot. Chemical burn from solvent exposure grinder failure caused a fuel leak to ship propeller. The incident was reported by Cameron Reed. Reese Holmes from the Ship Maintenance department was involved."
"On 24 December 2024 at 07:35, an incident occurred at Engineering Workshop. The incident was reported by Quinn Murray. Hydraulic fluid spill contaminated paint shop. Frankie Davis from the Research & Development department was involved. Compressed air injury during maintenance"
"Structural collapse in shipyard warehouse due to overload. Foreign object in eye from grinding debris On 19 April 2025 at 22:53, an incident occurred at Shipyard Pier. Spencer Brown from the Warehouse department was involved. The incident was reported by Jamie Clark."
"Smoke inhalation from fire in electrical bay The incident was reported by Elliot Fisher. Avery Ward from the IT department was involved. On 21 April 2025 at 17:51, an incident occurred at Cafeteria. Oil spill contaminated paint shop."
"Oil spill contaminated engine room. The incident was reported by Skyler Cooper. On 27 June 2024 at 09:30, an incident occurred at Dry Dock 2. Dislocated shoulder during equipment maintenance Peyton Smith from the Operations department was involved."
"Hearing damage from loud machinery Frankie Cooper from the Finance department was involved. On 27 July 2024 at 11:51, an incident occurred at Dry Dock 1. Oil spill contaminated engine room. The incident was reported by Harper Murphy."
"On 26 April 2025 at 01:02, an incident occurred at Dry Dock 2. Kai Smith from the Finance department was involved. The incident was reported by Sawyer Bennett. Minor cuts and bruises Oil spill contaminated paint shop."
"The incident was reported by Kai Smith. Jesse Graham from the Logistics department was involved. On 12 February 2025 at 21:42, an incident occurred at Office - Admin Block. Heat exhaustion from prolonged outdoor work grinder failure caused a fuel leak to dry dock floor."
